AL2O3(L),HCL,c_cp,c_t,cf,cp,cstar,gamma,ivac,mach,
0.054880,0.151120,3.013700,3233.900000,0.663810,2.705700,1572.400000,1.167718,198.114169,0.999990,
0.054890,0.151190,3.000900,3235.900000,0.663890,2.695600,1572.600000,1.167838,198.144750,0.999990,
0.054890,0.151250,2.988700,3237.700000,0.663970,2.685900,1572.800000,1.167958,198.175331,0.999990,
0.054900,0.151310,2.977000,3239.500000,0.664040,2.676600,1573.000000,1.168078,198.195719,0.999990,
0.054900,0.151370,2.965700,3241.200000,0.664110,2.667700,1573.100000,1.168210,198.226300,0.999990,
0.054900,0.151420,2.954900,3242.900000,0.664180,2.659100,1573.300000,1.168341,198.246687,0.999990,
0.054910,0.151480,2.944400,3244.500000,0.664250,2.650900,1573.400000,1.168473,198.267074,0.999990,
0.054910,0.151520,2.934300,3246.000000,0.664310,2.643000,1573.600000,1.168604,198.297655,0.999990,
0.054920,0.151570,2.924600,3247.500000,0.664370,2.635400,1573.700000,1.168748,198.318043,0.999990,
0.054920,0.151620,2.915200,3249.000000,0.664430,2.628000,1573.800000,1.168879,198.338430,0.999990,
0.054920,0.151660,2.906200,3250.400000,0.664490,2.620900,1574.000000,1.169022,198.358818,0.999990,
0.054920,0.151700,2.897400,3251.700000,0.664540,2.614000,1574.100000,1.169076,198.369011,0.999990,
0.054930,0.151740,2.888900,3253.000000,0.664600,2.607300,1574.200000,1.169219,198.389399,0.999990,
0.054930,0.151780,2.880700,3254.300000,0.664650,2.600900,1574.300000,1.169262,198.409786,0.999990,
0.054930,0.151820,2.872700,3255.500000,0.664700,2.594700,1574.400000,1.169416,198.430173,0.999990,
0.054930,0.151850,2.864900,3256.700000,0.664750,2.588600,1574.500000,1.169470,198.440367,0.999990,
0.054930,0.151890,2.857400,3257.900000,0.664800,2.582800,1574.600000,1.169613,198.460754,0.999990,
0.054930,0.151920,2.850100,3259.000000,0.664850,2.577100,1574.700000,1.169667,198.470948,0.999990,
0.054940,0.151950,2.843000,3260.100000,0.664890,2.571500,1574.800000,1.169834,198.491335,0.999990,
0.054940,0.151980,2.836100,3261.200000,0.664940,2.566200,1574.900000,1.169888,198.501529,0.999990,
0.054940,0.152010,2.829400,3262.300000,0.664980,2.560900,1575.000000,1.169942,198.521916,0.999990,
0.054940,0.152040,2.822800,3263.300000,0.665020,2.555900,1575.100000,1.170007,198.532110,0.999990,
0.054940,0.152060,2.816400,3264.300000,0.665060,2.550900,1575.200000,1.170162,198.542304,0.999990,
0.054940,0.152090,2.810200,3265.200000,0.665100,2.546100,1575.300000,1.170227,198.562691,0.999990,
0.054940,0.152110,2.804100,3266.200000,0.665140,2.541400,1575.400000,1.170281,198.572885,0.999990,
0.054940,0.152140,2.798200,3267.100000,0.665180,2.536800,1575.400000,1.170347,198.583078,0.999990,
0.054940,0.152160,2.792400,3268.000000,0.665220,2.532400,1575.500000,1.170413,198.593272,0.999990,
0.054940,0.152180,2.786800,3268.900000,0.665250,2.528000,1575.600000,1.170478,198.613660,0.999990,
0.054940,0.152200,2.781300,3269.700000,0.665290,2.523800,1575.700000,1.170544,198.623853,0.999990,
0.054940,0.152220,2.775900,3270.600000,0.665330,2.519600,1575.700000,1.170609,198.634047,0.999990,
